Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipMbP7IUEMymihZZHhTP4pFG-JgDPOj0icCKqoQz=w163-h92-k-no,SAFRA EnergyOne (SAFRA Toa Payoh),4.2,"Weightlifting 
Paid",4.2(69),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipPv-7031dFGd89SwZjkLaxYMF0PSy3SmWbFsiVz=w80-h106-k-no,ActiveSG Gym at Senja-Cashew,3.6,gym (i),3.6(35),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipOz2ZBAJ4R_PTfnphotnv7q56oz4pEvvyY0jOKw=w80-h106-k-no,Yio Chu Kang ActiveSG Gym,4.1,gym (i),4.1(492),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMQlU-0yS6hTt9veXxCiuRNRuAErypi0KYiyOra=w122-h92-k-no,ActiveSG Jurong East Sports Centre,4.2,"gym (i)
swimming (o)
badminton (I)
football (O)
running (O)",4.2(893),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipPF5cC5az30-h-P7XitCwQcFzev3eCRjeZq8PER=w137-h92-k-no,ActiveSG Park @ Jurong Lake Gardens,4.4,"gym (i)
swimming (o)",4.4(143),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipPu1oVU3oL2r21OihghNH_S93UKOh1DtXeBK1Ke=w80-h106-k-no,Bishan ActiveSG Gym,4.2,gym (i),4.2(176),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipPSTlGwqEzE8iU7p4jku2tLKVa73DnkUf0IuOUv=w122-h92-k-no,Jurong West ActiveSG Sports Centre,4.3,"gym (i)
football (O)
running (o)
swimming (I)
badminton (I)","4.3(1,771)",Sports complex 
https://lh5.googleusercontent.com/p/AF1QipMk0yoPIsXtyvTvrXf1oPezcFo2jIkac12jTUYX=w80-h106-k-no,Bukit Gombak ActiveSG Gym,4.2,"gym (i)
running (O)
football (O)",4.2(212),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipOVTOfXXQuggO1jWA2BMQ4lP6DGQDON0WYcO5Di=w80-h106-k-no,St Wilfred ActiveSG Sports Centre,4.3,"gym (i)
football (o)",4.3(273),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipOmBS75ZtQVpNuYAHVIODzt8mum3Ecw-NBhicfj=w80-h106-k-no,Bukit Batok ActiveSG Gym,3.7,gym (i),3.7(46),Gym and Fitness Centre 
